prompt_index,prompt_id,class,display_name,type,template,full_text,R_j_0,R_j_eps,median_margin,q10_margin,mean_margin,std_margin,num_samples,risk_level,dataset,semantic_auroc,memory_auroc,image_auroc
5,164,macaroni1,macaroni,generic,{} with flaw,macaroni with flaw,0.8912175648702595,0.9121756487025948,-0.5703125,-1.328125,-0.6011570608782435,0.521842598728569,1002,low,visa,85.2,81.28,88.11
6,165,macaroni1,macaroni,generic,{} with defect,macaroni with defect,0.3463073852295409,0.3692614770459081,0.28515625,-0.6875,0.2198103792415169,0.6807305683001128,1002,low,visa,85.2,81.28,88.11
3,175,macaroni2,macaroni,generic,imperfect {},imperfect macaroni,1.0,1.0,-4.4375,-5.43671875,-4.433523577844311,0.7748671244216356,1002,high,visa,68.5,77.49,78.37
8,180,macaroni2,macaroni,specific,{} with color spot,macaroni with color spot,1.0,1.0,-2.71875,-3.82734375,-2.7604634481037924,0.8136898299852999,1002,high,visa,68.5,77.49,78.37
9,181,macaroni2,macaroni,specific,{} with small chip around edge,macaroni with small chip around edge,1.0,1.0,-5.6484375,-6.55390625,-5.6355024326347305,0.7163430060761435,1002,high,visa,68.5,77.49,78.37
10,182,macaroni2,macaroni,specific,{} with small scratches,macaroni with small scratches,1.0,1.0,-3.12890625,-4.146875,-3.1745259481037924,0.7620981101952019,1002,high,visa,68.5,77.49,78.37
0,172,macaroni2,macaroni,generic,damaged {},damaged macaroni,0.999001996007984,0.999001996007984,-2.83203125,-3.9984375,-2.801030750998004,0.9750568944525057,1002,medium,visa,68.5,77.49,78.37
6,178,macaroni2,macaroni,generic,{} with defect,macaroni with defect,0.998003992015968,0.999001996007984,-1.6953125,-2.72578125,-1.7428502370259482,0.7432129378912478,1002,medium,visa,68.5,77.49,78.37
12,184,macaroni2,macaroni,specific,{} with cracks,macaroni with cracks,0.999001996007984,0.999001996007984,-1.97265625,-2.984375,-2.043475548902196,0.7292578409154661,1002,medium,visa,68.5,77.49,78.37
1,173,macaroni2,macaroni,generic,flawed {},flawed macaroni,0.9610778443113772,0.9700598802395208,-1.171875,-2.1484375,-1.2080370508982037,0.7287789693196098,1002,low,visa,68.5,77.49,78.37
4,176,macaroni2,macaroni,generic,blemished {},blemished macaroni,0.9520958083832336,0.9560878243512974,-1.1796875,-1.94453125,-1.1353153068862276,0.6605278900984262,1002,low,visa,68.5,77.49,78.37
7,179,macaroni2,macaroni,generic,{} with damage,macaroni with damage,0.6866267465069861,0.719560878243513,-0.328125,-1.4375,-0.3932759481037924,0.7361822652138741,1002,low,visa,68.5,77.49,78.37
2,174,macaroni2,macaroni,generic,abnormal {},abnormal macaroni,0.4141716566866267,0.4451097804391217,0.15625,-0.78125,0.1913828592814371,0.7813795929745664,1002,low,visa,68.5,77.49,78.37
11,183,macaroni2,macaroni,specific,{} with breakage,macaroni with breakage,0.2025948103792415,0.2315369261477046,0.5625,-0.3046875,0.5292929765469062,0.6232821309359455,1002,low,visa,68.5,77.49,78.37
5,177,macaroni2,macaroni,generic,{} with flaw,macaroni with flaw,0.1157684630738523,0.1287425149700598,0.859375,-0.078125,0.787877370259481,0.6580430175573316,1002,low,visa,68.5,77.49,78.37
