prompt_index,prompt_id,class,display_name,type,template,full_text,R_j_0,R_j_eps,median_margin,q10_margin,mean_margin,std_margin,num_samples,risk_level,dataset,semantic_auroc,memory_auroc,image_auroc
10,130,grid,grid,specific,{} with thread,grid with thread,1.0,1.0,-6.0390625,-6.85,-6.185801630434782,0.6632486081810764,23,high,mvtec,98.25,97.24,97.91
11,131,grid,grid,specific,{} with metal contamination,grid with metal contamination,1.0,1.0,-5.6953125,-7.4296875,-5.979959239130435,0.9535337073837948,23,high,mvtec,98.25,97.24,97.91
12,132,grid,grid,specific,{} with glue,grid with glue,1.0,1.0,-5.6484375,-6.7328125,-5.516644021739131,0.8988680571224431,23,high,mvtec,98.25,97.24,97.91
13,133,grid,grid,specific,{} with a bent shape,grid with a bent shape,1.0,1.0,-10.3046875,-11.2265625,-10.411345108695652,0.7298899259229757,23,high,mvtec,98.25,97.24,97.91
2,122,grid,grid,generic,abnormal {},abnormal grid,0.6956521739130435,0.6956521739130435,-0.828125,-1.396875,-0.618546195652174,0.881781309581408,23,low,mvtec,98.25,97.24,97.91
0,134,hazelnut,hazelnut,generic,damaged {},damaged hazelnut,1.0,1.0,-5.296875,-6.8515625,-5.543898809523809,1.3088810123366554,42,high,mvtec,91.21,99.86,99.93
1,135,hazelnut,hazelnut,generic,flawed {},flawed hazelnut,1.0,1.0,-2.9296875,-4.1078125,-3.06640625,0.8575285392014745,42,high,mvtec,91.21,99.86,99.93
3,137,hazelnut,hazelnut,generic,imperfect {},imperfect hazelnut,1.0,1.0,-5.0390625,-5.9375,-4.9140625,1.1274774308795974,42,high,mvtec,91.21,99.86,99.93
4,138,hazelnut,hazelnut,generic,blemished {},blemished hazelnut,1.0,1.0,-3.1953125,-4.2109375,-3.056361607142857,1.0054370186639972,42,high,mvtec,91.21,99.86,99.93
5,139,hazelnut,hazelnut,generic,{} with flaw,hazelnut with flaw,1.0,1.0,-3.5390625,-5.1,-3.5855654761904763,1.230951344304361,42,high,mvtec,91.21,99.86,99.93
6,140,hazelnut,hazelnut,generic,{} with defect,hazelnut with defect,1.0,1.0,-2.796875,-4.2875,-2.9187127976190474,1.0741346145674502,42,high,mvtec,91.21,99.86,99.93
7,141,hazelnut,hazelnut,generic,{} with damage,hazelnut with damage,1.0,1.0,-3.9296875,-4.8890625,-3.801711309523809,0.9820795828734028,42,high,mvtec,91.21,99.86,99.93
8,142,hazelnut,hazelnut,specific,{} with crack,hazelnut with crack,1.0,1.0,-2.34375,-3.665625,-2.5260416666666665,0.8041286682593572,42,high,mvtec,91.21,99.86,99.93
9,143,hazelnut,hazelnut,specific,{} with cut,hazelnut with cut,1.0,1.0,-3.2265625,-4.2765625,-3.2847842261904763,0.8713488782325763,42,high,mvtec,91.21,99.86,99.93
