prompt_index,prompt_id,class,display_name,type,template,full_text,R_j_0,R_j_eps,median_margin_normal,mean_margin_normal,std_margin_normal,q10_margin_normal,q90_margin_normal,num_normal_samples,median_margin_abnormal,mean_margin_abnormal,std_margin_abnormal,q10_margin_abnormal,q90_margin_abnormal,num_abnormal_samples,separation_gap,prompt_classification
4,150,leather,leather,generic,blemished {},blemished leather,0.5882352941176471,0.5882352941176471,-0.1406,-0.07306,0.4646,-0.7671875,0.5093749999999999,34,-1.07,-1.009,0.2856,-1.2640625,-0.6281249999999998,92,0.9297,dangerous_useful
5,151,leather,leather,generic,{} with flaw,leather with flaw,0.0588235294117647,0.1176470588235294,0.6484,0.545,0.3376,0.0515625,0.8234375,34,-1.234,-1.148,0.6426,-1.828125,-0.3312499999999998,92,1.883,safe
6,152,leather,leather,generic,{} with defect,leather with defect,0.6764705882352942,0.7647058823529411,-0.25,-0.2708,0.4338,-0.8421875,0.25625,34,-1.633,-1.632,0.5146,-2.2171875,-0.984375,92,1.383,dangerous_useful
7,153,leather,leather,generic,{} with damage,leather with damage,0.0,0.0,0.547,0.56,0.1488,0.3203125,0.7453125,34,-0.3672,-0.514,0.639,-1.375,0.1546875000000001,92,0.914,safe
8,154,leather,leather,specific,{} with color stain,leather with color stain,1.0,1.0,-4.023,-4.027,0.1842,-4.225,-3.790625,34,-2.664,-2.584,1.601,-4.484375,-0.515625,92,-1.359,dangerous_useless
9,155,leather,leather,specific,{} with cut,leather with cut,1.0,1.0,-3.5,-3.49,0.1117,-3.625,-3.34375,34,-2.367,-2.607,0.869,-3.71875,-1.6265625,92,-1.133,dangerous_useless
10,156,leather,leather,specific,{} with fold,leather with fold,1.0,1.0,-2.375,-2.36,0.1917,-2.5890625,-2.134375,34,-1.781,-1.874,0.527,-2.6390625,-1.2828125,92,-0.5938,dangerous_useless
11,157,leather,leather,specific,{} with glue,leather with glue,1.0,1.0,-2.422,-2.441,0.11926,-2.615625,-2.3125,34,-2.734,-2.803,0.4312,-3.371875,-2.3140625,92,0.3125,dangerous_useful
12,158,leather,leather,specific,{} with poke,leather with poke,0.088235294117647,0.088235294117647,0.633,0.6606,0.481,0.0828125,1.3312499999999998,34,-0.3281,-0.315,0.3699,-0.7953125,0.0140625,92,0.961,safe
0,185,metal_nut,metal nut,generic,damaged {},damaged metal nut,1.0,1.0,-2.848,-3.127,0.6216,-4.06328125,-2.49453125,24,-3.203,-3.17,0.605,-3.9265625,-2.3671875,93,0.3555,dangerous_useful
1,186,metal_nut,metal nut,generic,flawed {},flawed metal nut,1.0,1.0,-2.664,-2.695,0.3286,-3.02265625,-2.321875,24,-2.734,-2.72,0.5215,-3.396875,-2.0562500000000004,93,0.0703,dangerous_useful
2,187,metal_nut,metal nut,generic,abnormal {},abnormal metal nut,1.0,1.0,-1.391,-1.501,0.51,-2.2828125,-0.88984375,24,-1.492,-1.516,0.499,-2.175,-0.8921875,93,0.10156,dangerous_useful
3,188,metal_nut,metal nut,generic,imperfect {},imperfect metal nut,1.0,1.0,-2.695,-2.904,1.223,-4.69296875,-1.625,24,-3.305,-3.285,1.101,-4.725,-1.9546875000000004,93,0.6094,dangerous_useful
