dataset,class,k_shot,task,mode,auroc,semantic_auroc,memory_auroc,gap,oracle_semantic_ratio,oracle_memory_ratio
visa,pcb3,1,seg,oracle,96.08172496932903,61.45373673385205,96.08172496932903,34.627988235476984,,
visa,chewinggum,1,cls,semantic,95.58051689860835,,,,,
visa,chewinggum,1,cls,memory,92.45129224652088,,,,,
visa,chewinggum,1,cls,max,95.58051689860835,95.58051689860835,92.45129224652088,0.0,,
visa,chewinggum,1,cls,harmonic,92.99602385685884,95.58051689860835,92.45129224652088,-2.5844930417495138,,
visa,chewinggum,1,cls,oracle,100.0,95.58051689860835,92.45129224652088,4.419483101391641,16.58374792703151,83.41625207296849
visa,cashew,2,seg,semantic,95.56591149712949,,,,,
visa,cashew,2,seg,memory,89.77796804468457,,,,,
visa,cashew,2,seg,max,95.56591149712949,95.56591149712949,32.1343115198229,63.43159997730659,,
visa,cashew,2,seg,harmonic,93.71969389862592,93.71969389862592,31.513515563249257,62.20617833537666,,
visa,cashew,2,seg,oracle,95.56591149712949,95.56591149712949,32.1343115198229,63.43159997730659,,
visa,pcb4,2,cls,semantic,85.7636815920398,,,,,
visa,pcb4,2,cls,memory,77.06567164179104,,,,,
visa,pcb4,2,cls,max,85.7636815920398,85.7636815920398,77.06567164179104,0.0,,
visa,pcb4,2,cls,harmonic,77.7134328358209,85.7636815920398,77.06567164179104,-8.050248756218913,,
visa,pcb4,2,cls,oracle,100.0,85.7636815920398,77.06567164179104,14.23631840796019,9.049773755656108,90.9502262443439
visa,chewinggum,2,seg,semantic,98.64634215490895,,,,,
visa,chewinggum,2,seg,memory,97.76184307397268,,,,,
visa,chewinggum,2,seg,max,99.20893545608756,78.56399748608439,99.20893545608756,20.64493797000317,,
visa,chewinggum,2,seg,harmonic,99.58299914945418,78.86022018951515,99.58299914945418,20.722778959939035,,
visa,chewinggum,2,seg,oracle,99.20893545608756,78.56399748608439,99.20893545608756,20.64493797000317,,
visa,pcb3,2,cls,semantic,73.76888667992048,,,,,
visa,pcb3,2,cls,memory,71.93936381709742,,,,,
visa,pcb3,2,cls,max,73.76888667992048,73.76888667992048,71.93936381709742,0.0,,
visa,pcb3,2,cls,harmonic,73.00198807157057,73.76888667992048,71.93936381709742,-0.7668986083499196,,
visa,pcb3,2,cls,oracle,100.0,73.76888667992048,71.93936381709742,26.231113320079512,9.041591320072333,90.95840867992767
visa,macaroni2,2,seg,semantic,94.41147939174519,,,,,
visa,macaroni2,2,seg,memory,92.83275550515214,,,,,
