dataset,class,k_shot,task,max,harmonic,diff,semantic,memory,branch_gap,weak_branch
mvtec,toothbrush,1,seg,98.32143698753197,98.12350955792508,0.19792742960689225,,,0.0,unknown
mvtec,leather,1,cls,100.0,99.8131793478261,0.18682065217390686,100.0,99.7961956521739,0.20380434782609314,memory
mvtec,grid,1,seg,97.97881304649587,97.20243614922677,0.7763768972691025,,,0.0,unknown
mvtec,screw,1,cls,58.915761426521826,54.81656077064972,4.099200655872103,58.915761426521826,54.088952654232436,4.8268087722893895,memory
mvtec,transistor,1,cls,90.25,70.70833333333333,19.54166666666667,90.25,67.29166666666666,22.958333333333343,memory
mvtec,tile,1,seg,96.65676489839595,94.934381071513,1.7223838268829468,,,0.0,unknown
mvtec,bottle,1,cls,99.76190476190476,99.92063492063492,-0.15873015873016527,96.58730158730158,99.76190476190476,3.1746031746031775,semantic
mvtec,wood,1,cls,98.85964912280701,99.03508771929825,-0.17543859649123306,99.3859649122807,98.07017543859648,1.3157894736842195,memory
mvtec,capsule,1,seg,93.20647938725693,94.09773088650888,-0.8912514992519505,,,0.0,unknown
mvtec,pill,1,cls,93.22149481723949,94.01254773595198,-0.7910529187124951,85.44735406437533,93.31696672122204,7.869612656846712,semantic
mvtec,wood,1,seg,95.32879509404994,93.17007003350129,2.1587250605486474,,,0.0,unknown
mvtec,hazelnut,1,cls,99.75,98.82142857142857,0.9285714285714306,83.58928571428571,99.82142857142857,16.23214285714286,semantic
mvtec,zipper,1,seg,90.60254290977684,89.12015846366539,1.4823844461114533,,,0.0,unknown
mvtec,cable,1,cls,89.03673163418291,92.62556221889055,-3.5888305847076367,83.11469265367316,89.14917541229384,6.034482758620683,semantic
mvtec,carpet,1,cls,100.0,100.0,0.0,100.0,99.87961476725522,0.12038523274478052,memory
mvtec,toothbrush,1,cls,93.6111111111111,88.05555555555557,5.555555555555529,72.77777777777777,94.44444444444446,21.666666666666686,semantic
mvtec,metal_nut,1,seg,88.78171071046867,89.36561412371184,-0.5839034132431635,,,0.0,unknown
mvtec,zipper,1,cls,93.36922268907564,93.82878151260505,-0.4595588235294059,92.55514705882354,92.17436974789916,0.3807773109243726,memory
mvtec,bottle,1,seg,98.58613954390843,95.03702489448092,3.5491146494275085,,,0.0,unknown
mvtec,tile,1,cls,99.96392496392497,98.95382395382396,1.0101010101010104,99.96392496392497,98.52092352092352,1.4430014430014495,memory
mvtec,leather,1,seg,99.44950715647688,99.20714483494054,0.24236232153634774,,,0.0,unknown
mvtec,cable,1,seg,96.6032243772633,96.14893980471211,0.45428457255118815,,,0.0,unknown
mvtec,screw,1,seg,91.94840666527537,90.39997371136478,1.5484329539105914,,,0.0,unknown
mvtec,metal_nut,1,cls,98.8514173998045,98.63147605083088,0.21994134897362017,87.90322580645162,98.7781036168133,10.874877810361681,semantic
mvtec,grid,1,cls,99.41520467836258,96.65831244778613,2.7568922305764545,99.41520467836258,95.48872180451127,3.926482873851313,memory
mvtec,hazelnut,2,seg,98.89465477855805,98.12072925552107,0.7739255230369793,,,0.0,unknown
mvtec,capsule,2,cls,85.6003191065018,82.0702034303949,3.5301156761069024,73.69365775827683,84.84244116473873,11.148783406461902,semantic
mvtec,pill,2,seg,96.00054005560644,94.91327059988434,1.0872694557220939,,,0.0,unknown
mvtec,transistor,2,seg,87.80393253902129,76.83287334451371,10.971059194507575,,,0.0,unknown
mvtec,carpet,2,seg,99.41977165095545,99.36107652508261,0.058695125872844756,,,0.0,unknown
mvtec,toothbrush,2,seg,98.3805514192148,98.35741869796425,0.02313272125054766,,,0.0,unknown
mvtec,leather,2,cls,100.0,99.86413043478261,0.1358695652173907,100.0,99.86413043478261,0.1358695652173907,memory
mvtec,grid,2,seg,98.10121221779853,97.22810496143019,0.8731072563683426,,,0.0,unknown
mvtec,screw,2,cls,66.41729862676777,58.03443328550932,8.382865341258452,66.41729862676777,55.91309694609551,10.504201680672267,memory
mvtec,transistor,2,cls,91.1875,91.89583333333333,-0.7083333333333286,89.60416666666667,86.91666666666666,2.687500000000014,memory
mvtec,tile,2,seg,97.03595078562476,95.73099694800908,1.3049538376156846,,,0.0,unknown
mvtec,bottle,2,cls,99.44444444444444,99.36507936507937,0.07936507936507553,95.51587301587301,99.52380952380952,4.007936507936506,semantic
mvtec,wood,2,cls,99.3859649122807,99.21052631578947,0.17543859649123306,98.81578947368422,98.85964912280701,0.04385964912279405,semantic
mvtec,capsule,2,seg,95.43968417009968,95.13958325701358,0.3001009130860979,,,0.0,unknown
