dataset,class,k_shot,task,auroc_baseline_harmonic,auroc_gate_max,diff,better
visa,chewinggum,4,seg,99.14,99.14072243994568,0.0007224399456760011,True
visa,fryum,4,cls,92.31,90.104,-2.206000000000003,False
visa,fryum,4,seg,96.02,96.01561875546122,-0.004381244538777196,False
visa,macaroni1,4,cls,88.1,83.5685,-4.531499999999994,False
visa,macaroni1,4,seg,96.59,96.5926074277556,0.0026074277555920844,True
visa,macaroni2,4,cls,75.99,73.2415,-2.748499999999993,False
visa,macaroni2,4,seg,94.84,94.84360115921773,0.0036011592177231933,True
visa,pcb1,4,cls,93.11,93.63645418326692,0.526454183266921,True
visa,pcb1,4,seg,98.33,98.32865313177176,-0.001346868228239373,False
visa,pcb2,4,cls,82.83,76.09590409590409,-6.734095904095909,False
visa,pcb2,4,seg,94.85,94.85184299646396,0.0018429964639636864,True
visa,pcb3,4,cls,80.59,81.93041749502983,1.3404174950298255,True
visa,pcb3,4,seg,96.4,96.40106196751977,0.0010619675197602874,True
visa,pcb4,4,cls,92.66,86.39850746268657,-6.26149253731343,False
visa,pcb4,4,seg,97.94,97.9433273780934,0.0033273780934024444,True
visa,pipe_fryum,4,cls,98.88,98.60200000000002,-0.2779999999999774,False
visa,pipe_fryum,4,seg,99.54,99.5422391749384,0.0022391749383956494,True
