dataset,class,k_shot,seed,R_MAP_0,R_LAP_0,R_MAP_eps,R_LAP_eps,margin_MAP_q10,margin_MAP_median,margin_MAP_q90,margin_MAP_mean,margin_MAP_std,margin_LAP_q10,margin_LAP_median,margin_LAP_q90,margin_LAP_mean,margin_LAP_std,margin_discrepancy_mean,margin_discrepancy_median,margin_discrepancy_std,margin_discrepancy_max,disagreement_rate,margin_correlation,cos_normal_MAP,cos_normal_LAP,cos_MAP_LAP,cos_normal_combined,dist_normal_MAP,dist_normal_LAP,dist_MAP_LAP,dist_normal_combined,fusion_auroc,fusion_p_auroc,semantic_auroc,memory_auroc,delta_fusion,delta_memory,margin_separation,anchor_cosine_sim
mvtec,mvtec-tile,2,111,1.0,0.0,1.0,1.0,-0.22294921875,-0.2202,-0.21748046875,-0.2202,0.003418,0.03271484375,0.03662,0.04052734375,0.03662,0.004883,0.2568,0.2568,0.001465,0.2583,1.0,1.0,0.9677734375,0.9736328125,0.94677734375,0.97900390625,0.253173828125,0.2301025390625,0.325927734375,0.20556640625,99.93,97.04,99.89,98.59,0.04000000000000625,-1.2999999999999972,0.2202,0.94677734375
mvtec,mvtec-toothbrush,2,111,1.0,0.5,1.0,1.0,-0.099072265625,-0.0969,-0.094775390625,-0.0969,0.002686,0.000732421875,0.005615,0.010498046875,0.005615,0.006104,0.10254,0.10254,0.003418,0.10596,0.5,1.0,0.9755859375,0.9755859375,0.95947265625,0.98388671875,0.218994140625,0.2191162109375,0.284912109375,0.177734375,93.89,98.38,65.0,94.17,28.89,29.17,0.0969,0.95947265625
mvtec,mvtec-transistor,2,111,1.0,0.0,1.0,0.0,-0.260693359375,-0.2507,-0.240771484375,-0.2507,0.01245,0.15966796875,0.1655,0.17138671875,0.1655,0.007324,0.4163,0.4163,0.01978,0.436,1.0,-1.0,0.962890625,0.97509765625,0.9453125,0.97607421875,0.272216796875,0.2237548828125,0.3310546875,0.2178955078125,93.0,87.8,87.29,86.87,5.709999999999994,-0.4200000000000017,0.2507,0.9453125
mvtec,mvtec-wood,2,111,1.0,0.0,1.0,0.0,-0.146484375,-0.1426,-0.138671875,-0.1426,0.004883,0.0810546875,0.0869,0.0927734375,0.0869,0.007324,0.2295,0.2295,0.01221,0.2417,1.0,-1.0,0.96875,0.96337890625,0.94287109375,0.97802734375,0.2490234375,0.269775390625,0.33740234375,0.208740234375,99.56,96.57,99.12,98.86,0.4399999999999977,-0.2600000000000051,0.1426,0.94287109375
mvtec,mvtec-zipper,2,111,1.0,0.0,1.0,0.0,-0.142431640625,-0.1399,-0.137353515625,-0.1399,0.003174,0.083056640625,0.08325,0.083447265625,0.08325,0.0002441,0.2231,0.2231,0.003418,0.2266,1.0,-1.0,0.97265625,0.97265625,0.94873046875,0.98095703125,0.2354736328125,0.2352294921875,0.32080078125,0.194580078125,97.06,92.58,97.26,73.06,-0.20000000000000284,-24.200000000000003,0.1399,0.94873046875
visa,visa-candle,2,111,1.0,0.0,1.0,1.0,-0.09443359375,-0.09326,-0.09208984375,-0.09326,0.001465,0.029296875,0.0293,0.029296875,0.0293,0.0,0.12256,0.12256,0.001465,0.124,1.0,,0.96337890625,0.9638671875,0.93212890625,0.974609375,0.2685546875,0.267333984375,0.3662109375,0.222900390625,94.33,0.0,94.46,84.33,-0.12999999999999545,-10.129999999999995,0.09326,0.93212890625
visa,visa-capsules,2,111,1.0,0.0,1.0,1.0,-0.067626953125,-0.0647,-0.061767578125,-0.0647,0.003662,0.0326171875,0.03418,0.0357421875,0.03418,0.001953,0.0989,0.0989,0.005615,0.1045,1.0,-1.0,0.97998046875,0.958984375,0.95166015625,0.9833984375,0.2001953125,0.2861328125,0.3125,0.1802978515625,76.55,0.0,66.54,76.41,10.009999999999991,9.86999999999999,0.0647,0.95166015625
visa,visa-cashew,2,111,1.0,0.0,1.0,0.5,-0.181982421875,-0.1716,-0.161279296875,-0.1716,0.01294,0.047802734375,0.04956,0.051318359375,0.04956,0.002197,0.2212,0.2212,0.01514,0.2363,1.0,-1.0,0.97509765625,0.98046875,0.95849609375,0.9833984375,0.225341796875,0.1981201171875,0.289794921875,0.181884765625,92.43,0.0,91.74,84.33,0.6900000000000119,-7.409999999999997,0.1716,0.95849609375
visa,visa-chewinggum,2,111,1.0,0.0,1.0,0.0,-0.029931640625,-0.02661,-0.023291015625,-0.02661,0.00415,0.06083984375,0.0659,0.07099609375,0.0659,0.006348,0.0925,0.0925,0.002197,0.0947,1.0,1.0,0.978515625,0.974609375,0.96142578125,0.984375,0.2081298828125,0.2242431640625,0.275634765625,0.177001953125,96.11,0.0,92.54,95.13,3.569999999999993,2.589999999999989,0.02661,0.96142578125
visa,visa-fryum,2,111,1.0,0.0,1.0,1.0,-0.0208740234375,-0.01746,-0.0140380859375,-0.01746,0.004272,0.0379638671875,0.0404,0.0428466796875,0.0404,0.00305,0.05786,0.05786,0.007324,0.0652,1.0,-1.0,0.9765625,0.98046875,0.966796875,0.98291015625,0.2169189453125,0.197021484375,0.25830078125,0.183349609375,87.1,0.0,86.77,86.1,0.3299999999999983,-0.6700000000000017,0.01746,0.966796875
visa,visa-macaroni1,2,111,1.0,0.0,1.0,0.0,-0.131982421875,-0.12476,-0.117529296875,-0.12476,0.00903,0.10068359375,0.103,0.10537109375,0.103,0.00293,0.2278,0.2278,0.01196,0.2397,1.0,-1.0,0.97119140625,0.97802734375,0.96142578125,0.97998046875,0.23779296875,0.2103271484375,0.277099609375,0.1995849609375,88.11,0.0,85.2,81.28,2.9099999999999966,-3.9200000000000017,0.12476,0.96142578125
visa,visa-macaroni2,2,111,1.0,0.0,1.0,0.0,-0.210009765625,-0.2083,-0.206494140625,-0.2083,0.002197,0.102685546875,0.10913,0.115576171875,0.10913,0.00806,0.3174,0.3174,0.010254,0.3276,1.0,-1.0,0.97119140625,0.97802734375,0.95947265625,0.97998046875,0.2418212890625,0.2088623046875,0.28515625,0.200927734375,78.37,0.0,68.5,77.49,9.870000000000005,8.989999999999995,0.2083,0.95947265625
visa,visa-pcb1,2,111,1.0,1.0,1.0,1.0,-0.01513671875,-0.01318,-0.01123046875,-0.01318,0.002441,-0.027099609375,-0.02222,-0.017333984375,-0.02222,0.006104,0.00903,0.00903,0.003662,0.012695,0.0,1.0,0.98876953125,0.97705078125,0.97216796875,0.9912109375,0.147705078125,0.21240234375,0.2353515625,0.131591796875,94.63,0.0,90.83,93.13,3.799999999999997,2.299999999999997,0.01318,0.97216796875
visa,visa-pcb2,2,111,1.0,0.0,1.0,0.0,-0.01162109375,-0.007324,-0.0030273437499999,-0.007324,0.00537,0.0802734375,0.08887,0.0974609375,0.08887,0.01074,0.0962,0.0962,0.00537,0.10156,1.0,1.0,0.9833984375,0.98681640625,0.974609375,0.9892578125,0.1795654296875,0.1627197265625,0.22509765625,0.1461181640625,76.89,0.0,64.16,74.89,12.730000000000004,10.730000000000004,0.007324,0.974609375
visa,visa-pcb3,2,111,0.0,0.0,1.0,0.0,0.01240234375,0.01709,0.02177734375,0.01709,0.00586,0.06328125,0.0664,0.06953125,0.0664,0.003906,0.04932,0.04932,0.009766,0.05908,0.0,-1.0,0.98583984375,0.95849609375,0.9453125,0.9892578125,0.1663818359375,0.288330078125,0.33056640625,0.1455078125,75.25,0.0,70.62,71.92,4.6299999999999955,1.2999999999999972,0.01709,0.9453125
visa,visa-pcb4,2,111,1.0,0.0,1.0,0.0,-0.0328125,-0.03125,-0.0296875,-0.03125,0.001953,0.07265625,0.0742,0.07578125,0.0742,0.001953,0.10547,0.10547,0.003906,0.1094,1.0,-1.0,0.9833984375,0.97509765625,0.96630859375,0.9873046875,0.1798095703125,0.2232666015625,0.25732421875,0.158447265625,83.96,0.0,81.02,77.07,2.9399999999999977,-3.950000000000003,0.03125,0.96630859375
visa,visa-pipe_fryum,2,111,1.0,0.0,1.0,0.5,-0.1108642578125,-0.1061,-0.1012939453125,-0.1061,0.00598,0.04521484375,0.0503,0.05537109375,0.0503,0.006348,0.1564,0.1564,0.01233,0.1687,1.0,-1.0,0.9736328125,0.98193359375,0.96826171875,0.98095703125,0.2283935546875,0.19140625,0.252685546875,0.194091796875,98.7,0.0,83.32,98.71,15.38000000000001,15.39,0.1061,0.96826171875
